Ref,Val,Package,PosX,PosY,Rot,Side
"C1",".1uF","C_0603_1608Metric",178.050000,-94.000000,180.000000,top
"C2","10uF","C_0805_2012Metric",178.050000,-89.000000,180.000000,top
"C3","22pF","C_0402_1005Metric",158.000000,-87.000000,180.000000,top
"C4","22pF","C_0402_1005Metric",152.000000,-89.000000,90.000000,top
"D1","LED","LED_0805_2012Metric",153.000000,-80.000000,0.000000,top
"D2","LED","LED_0805_2012Metric",127.062500,-109.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",132.125000,-109.000000,0.000000,top
"D4","LED","LED_0805_2012Metric",137.062500,-109.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",142.125000,-109.000000,0.000000,top
"J1","Barrel_Jack","BarrelJack_Horizontal",122.000000,-117.042500,0.000000,top
"J2","AVR-ISP-6","IDC-Header_2x03_P2.54mm_Vertical",188.247500,-105.455000,0.000000,top
"JANT1","Conn_01x01","PinHeader_1x01_P2.54mm_Vertical",190.000000,-125.000000,0.000000,top
"JBUZZ1","Conn_01x02_Male","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",179.000000,-118.000000,0.000000,top
"JDIAG1","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",153.000000,-73.000000,90.000000,top
"JOUT1","Conn_01x03_Male","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",115.000000,-100.450000,0.000000,top
"JOUT2","Conn_01x03_Male","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",129.000000,-100.450000,0.000000,top
"JRESET1","Conn_01x02_Male","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",189.000000,-70.000000,0.000000,top
"JRF1","Conn_01x07_Female","PinHeader_1x07_P2.54mm_Vertical",161.000000,-125.000000,90.000000,top
"JRM1","Conn_01x03_Male","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",115.000000,-78.000000,0.000000,top
"JRS1","Conn_01x03_Male","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",128.500000,-88.000000,0.000000,top
"JSTART1","Conn_01x02_Male","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",189.000000,-88.000000,0.000000,top
"JSTOP1","Conn_01x02_Male","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",189.000000,-79.000000,0.000000,top
"JWM1","Conn_01x03_Male","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",115.000000,-88.000000,0.000000,top
"JWS1","Conn_01x03_Male","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",128.500000,-78.000000,0.000000,top
"Q1","2N7002","SOT-23",180.000000,-112.000000,0.000000,top
"R1","470Ω","R_0805_2012Metric",146.400240,-77.512260,0.000000,top
"R2","10kΩ","R_0603_1608Metric",161.000000,-118.000000,0.000000,top
"R3","10kΩ","R_0603_1608Metric",165.000000,-118.000000,0.000000,top
"R4","10kΩ","R_0603_1608Metric",169.000000,-118.000000,0.000000,top
"R5","10kΩ","R_0603_1608Metric",173.000000,-118.000000,0.000000,top
"R6","470Ω","R_0805_2012Metric",127.125000,-114.000000,0.000000,top
"R7","470Ω","R_0805_2012Metric",132.125000,-114.000000,0.000000,top
"R8","470Ω","R_0805_2012Metric",137.037500,-114.000000,0.000000,top
"R9","470Ω","R_0805_2012Metric",142.125000,-114.000000,0.000000,top
"RVBRIGHT1","R_Potentiometer","Potentiometer_Bourns_3386P_Vertical",168.015000,-77.540000,0.000000,top
"RVVOL1","R_Potentiometer","Potentiometer_Bourns_3386P_Vertical",151.015000,-122.540000,0.000000,top
"U1","ATmega328P-A","TQFP-32_7x7mm_P0.8mm",168.000000,-92.000000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",155.000000,-88.000000,90.000000,top
