Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,.1uF,C_0603_1608Metric,178.05,-94,180,top
C2,10uF,C_0805_2012Metric,178.05,-89,180,top
C3,22pF,C_0402_1005Metric,158,-87,180,top
C4,22pF,C_0402_1005Metric,152,-89,90,top
D1,LED,LED_0805_2012Metric,153,-80,0,top
D2,LED,LED_0805_2012Metric,127.0625,-109,0,top
D3,LED,LED_0805_2012Metric,132.125,-109,0,top
D4,LED,LED_0805_2012Metric,137.0625,-109,0,top
D5,LED,LED_0805_2012Metric,142.125,-109,0,top
J1,Barrel_Jack,BarrelJack_Horizontal,122,-117.0425,0,top
J2,AVR-ISP-6,IDC-Header_2x03_P2.54mm_Vertical,188.2475,-105.455,0,top
JANT1,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,190,-125,0,top
JBUZZ1,Conn_01x02_Male,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,179,-118,0,top
JDIAG1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,153,-73,90,top
JOUT1,Conn_01x03_Male,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,115,-100.45,0,top
JOUT2,Conn_01x03_Male,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,129,-100.45,0,top
JRESET1,Conn_01x02_Male,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,189,-70,0,top
JRF1,Conn_01x07_Female,PinHeader_1x07_P2.54mm_Vertical,161,-125,90,top
JRM1,Conn_01x03_Male,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,115,-78,0,top
JRS1,Conn_01x03_Male,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,128.5,-88,0,top
JSTART1,Conn_01x02_Male,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,189,-88,0,top
JSTOP1,Conn_01x02_Male,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,189,-79,0,top
JWM1,Conn_01x03_Male,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,115,-88,0,top
JWS1,Conn_01x03_Male,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,128.5,-78,0,top
Q1,2N7002,SOT-23,180,-112,180,top
R1,1kΩ,R_0603_1608Metric,146.40024,-77.51226,0,top
R2,10kΩ,R_0603_1608Metric,161,-118,0,top
R3,10kΩ,R_0603_1608Metric,165,-118,0,top
R4,10kΩ,R_0603_1608Metric,169,-118,0,top
R5,10kΩ,R_0603_1608Metric,173,-118,0,top
R6,1kΩ,R_0603_1608Metric,127,-114,0,top
R7,1kΩ,R_0603_1608Metric,132,-114,0,top
R8,1kΩ,R_0603_1608Metric,137,-114,0,top
R9,1kΩ,R_0603_1608Metric,142,-114,0,top
RVBRIGHT1,R_Potentiometer,Potentiometer_Bourns_3386P_Vertical,168.015,-77.54,0,top
RVVOL1,R_Potentiometer,Potentiometer_Bourns_3386P_Vertical,151.015,-122.54,0,top
U1,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,168,-92,270,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,155,-88,90,top
