Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,89,-50,180,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104,-50,180,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117,-50,180,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-64,90,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-77,90,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-91,90,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-120,90,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-134,90,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-148,90,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,118,-162,0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104,-162,0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,89,-162,0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75,-148,-90,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75,-134,-90,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75,-119,-90,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75,-92,-90,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75,-78,-90,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75,-63,-90,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,91,-106,180,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104,-106,180,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116,-106,180,top
